pt_col1,pt_col2
T-lymphocyte count,T-lymphocyte count
Citric acid urine increased,Citric acid urine increased
Citric acid urine decreased,Citric acid urine decreased
Coagulation factor,Coagulation factor
Hair metal test,Hair metal test
Hair metal test normal,Hair metal test normal
Hair metal test abnormal,Hair metal test abnormal
CSF lactate normal,CSF lactate normal
CSF lactate abnormal,CSF lactate abnormal
CSF lactate increased,CSF lactate increased
CSF lactate decreased,CSF lactate decreased
CSF myelin basic protein normal,CSF myelin basic protein normal
CSF myelin basic protein abnormal,CSF myelin basic protein abnormal
CSF myelin basic protein increased,CSF myelin basic protein increased
CSF myelin basic protein decreased,CSF myelin basic protein decreased
Dexamethasone suppression test positive,Dexamethasone suppression test positive
Dexamethasone suppression test negative,Dexamethasone suppression test negative
Russell's viper venom time normal,Russell's viper venom time normal
Russell's viper venom time abnormal,Russell's viper venom time abnormal
Haemorrhagic ascites,Haemorrhagic ascites
Urine casomorphin,Urine casomorphin
Citric acid urine,Citric acid urine
CSF lactate,CSF lactate
CSF myelin basic protein,CSF myelin basic protein
Dexamethasone suppression test,Dexamethasone suppression test
Russell's viper venom time,Russell's viper venom time
Ulnar nerve palsy,Ulnar nerve palsy
Preduodenal portal vein,Preduodenal portal vein
Prostatic hypoplasia,Prostatic hypoplasia
Persistent urogenital sinus,Persistent urogenital sinus
Meningocele acquired,Meningocele acquired
Respiratory therapy,Respiratory therapy
Pneumatic compression therapy,Pneumatic compression therapy
Infusion site rash,Infusion site rash
Pacemaker generated rhythm,Pacemaker generated rhythm
Adhesion,Adhesion
Urine cortisol/creatinine ratio,Urine cortisol/creatinine ratio
Urine cortisol/creatinine ratio decreased,Urine cortisol/creatinine ratio decreased
Urine cortisol/creatinine ratio abnormal,Urine cortisol/creatinine ratio abnormal
Nasopharyngeal reflux,Nasopharyngeal reflux
Urine cortisol/creatinine ratio increased,Urine cortisol/creatinine ratio increased
Urine cortisol/creatinine ratio normal,Urine cortisol/creatinine ratio normal
Hypothyroidic goitre,Hypothyroidic goitre
Renal cyst haemorrhage,Renal cyst haemorrhage
Proctocolectomy,Proctocolectomy
Urogenital sinus mobilisation,Urogenital sinus mobilisation
Cardiac resynchronisation therapy,Cardiac resynchronisation therapy
Cardiac ablation,Cardiac ablation
Jugular vein distension,Jugular vein distension
Drug resistance,Drug resistance
Device ineffective,Device ineffective
Cytogenetic analysis,Cytogenetic analysis
Fraction of inspired oxygen,Fraction of inspired oxygen
Myoglobin blood,Myoglobin blood
Cytogenetic analysis normal,Cytogenetic analysis normal
Cytogenetic analysis abnormal,Cytogenetic analysis abnormal
Myoglobin blood present,Myoglobin blood present
Myoglobin blood absent,Myoglobin blood absent
Positive end-expiratory pressure,Positive end-expiratory pressure
Urine output,Urine output
Urine output decreased,Urine output decreased
Urine output increased,Urine output increased
"Blood 1,25-dihydroxycholecalciferol","Blood 1,25-dihydroxycholecalciferol"
5'nucleotidase,5'nucleotidase
Blood urea nitrogen/creatinine ratio,Blood urea nitrogen/creatinine ratio
Glucose-6-phosphate dehydrogenase,Glucose-6-phosphate dehydrogenase
Glucose-6-phosphate dehydrogenase normal,Glucose-6-phosphate dehydrogenase normal
Glucose-6-phosphate dehydrogenase abnormal,Glucose-6-phosphate dehydrogenase abnormal
Glutamate dehydrogenase,Glutamate dehydrogenase
Lymphocyte percentage,Lymphocyte percentage
Platelet morphology,Platelet morphology
Red blood cell morphology,Red blood cell morphology
White blood cell morphology,White blood cell morphology
Porphyrins urine,Porphyrins urine
Porphyrins urine normal,Porphyrins urine normal
Porphyrins urine abnormal,Porphyrins urine abnormal
Protein bound iodine,Protein bound iodine
Pulmonary function test,Pulmonary function test
Red blood cell anisocytes present,Red blood cell anisocytes present
Red blood cell spherocytes present,Red blood cell spherocytes present
Reticulocyte percentage,Reticulocyte percentage
Reticulocyte percentage normal,Reticulocyte percentage normal
Reticulocyte percentage abnormal,Reticulocyte percentage abnormal
Reticulocyte percentage increased,Reticulocyte percentage increased
Reticulocyte percentage decreased,Reticulocyte percentage decreased
Retinol binding protein,Retinol binding protein
Pharyngeal hypoaesthesia,Pharyngeal hypoaesthesia
Tongue injury,Tongue injury
Blood 25-hydroxycholecalciferol,Blood 25-hydroxycholecalciferol
Blood urea nitrogen/creatinine ratio decreased,Blood urea nitrogen/creatinine ratio decreased
Laboratory test,Laboratory test
LE cells,LE cells
Myoglobin blood decreased,Myoglobin blood decreased
Porphyrins urine increased,Porphyrins urine increased
Porphyrins urine decreased,Porphyrins urine decreased
Pulmonary function test increased,Pulmonary function test increased
Red blood cell poikilocytes present,Red blood cell poikilocytes present
Carnitine,Carnitine
Albumin CSF,Albumin CSF
Urine amphetamine,Urine amphetamine
Antiacetylcholine receptor antibody,Antiacetylcholine receptor antibody
Base excess,Base excess
Total bile acids,Total bile acids
Blood alcohol,Blood alcohol
Blood androstenedione,Blood androstenedione
B-lymphocyte count,B-lymphocyte count
5-hydroxyindolacetic acid in urine,5-hydroxyindolacetic acid in urine
Antiviral drug level,Antiviral drug level
Antiviral drug level above therapeutic,Antiviral drug level above therapeutic
Antiviral drug level below therapeutic,Antiviral drug level below therapeutic
Albumin CSF abnormal,Albumin CSF abnormal
Albumin CSF normal,Albumin CSF normal
Albumin CSF increased,Albumin CSF increased
Albumin CSF decreased,Albumin CSF decreased
Plasmin inhibitor,Plasmin inhibitor
Alpha tumour necrosis factor,Alpha tumour necrosis factor
Alpha tumour necrosis factor increased,Alpha tumour necrosis factor increased
Alpha tumour necrosis factor decreased,Alpha tumour necrosis factor decreased
Urine amphetamine negative,Urine amphetamine negative
Parasitic blood test negative,Parasitic blood test negative
Base excess increased,Base excess increased
Base excess decreased,Base excess decreased
Blood alcohol abnormal,Blood alcohol abnormal
B-lymphocyte count increased,B-lymphocyte count increased
Blood alcohol increased,Blood alcohol increased
Eosinophil cationic protein,Eosinophil cationic protein
Blood galactose,Blood galactose
Interferon gamma level,Interferon gamma level
Gastric pH,Gastric pH
Head circumference,Head circumference
Hepaplastin test,Hepaplastin test
Hepatitis B DNA assay,Hepatitis B DNA assay
Hepatitis E antigen,Hepatitis E antigen
Histamine level,Histamine level
Glyceric acid urine increased,Glyceric acid urine increased
Blood galactose normal,Blood galactose normal
Blood galactose abnormal,Blood galactose abnormal
Blood galactose increased,Blood galactose increased
Blood galactose decreased,Blood galactose decreased
Gastric pH increased,Gastric pH increased
Gastric pH decreased,Gastric pH decreased
Head circumference normal,Head circumference normal
Head circumference abnormal,Head circumference abnormal
Haemoglobin E,Haemoglobin E
Haemoglobin E absent,Haemoglobin E absent
Haemoglobin E present,Haemoglobin E present
Hepatitis B DNA assay positive,Hepatitis B DNA assay positive
Hepatitis B DNA assay negative,Hepatitis B DNA assay negative
Hepatitis E antigen positive,Hepatitis E antigen positive
Hepatitis E antigen negative,Hepatitis E antigen negative
Histamine level increased,Histamine level increased
Histamine level decreased,Histamine level decreased
Antinuclear antibody positive,Antinuclear antibody positive
Urine lactic acid,Urine lactic acid
Left ventricular end-diastolic pressure,Left ventricular end-diastolic pressure
Measles antibody,Measles antibody
Blood mercury,Blood mercury
Urine mercury,Urine mercury
Intelligence test,Intelligence test
Intelligence test normal,Intelligence test normal
Intelligence test abnormal,Intelligence test abnormal
Light chain analysis,Light chain analysis
Light chain analysis increased,Light chain analysis increased
Light chain analysis decreased,Light chain analysis decreased
Urine lactic acid increased,Urine lactic acid increased
Urine lactic acid decreased,Urine lactic acid decreased
Left ventricular end-diastolic pressure increased,Left ventricular end-diastolic pressure increased
Left ventricular end-diastolic pressure decreased,Left ventricular end-diastolic pressure decreased
Analgesic drug level,Analgesic drug level
Venous pressure,Venous pressure
Blood mercury normal,Blood mercury normal
Blood mercury abnormal,Blood mercury abnormal
Urine mercury normal,Urine mercury normal
Urine mercury abnormal,Urine mercury abnormal
Liver function test,Liver function test
Liver function test normal,Liver function test normal
Human herpes virus 6 serology,Human herpes virus 6 serology
Squamous cell carcinoma of head and neck,Squamous cell carcinoma of head and neck
Red blood cell microcytes,Red blood cell microcytes
Parasite blood test positive,Parasite blood test positive
Phenylalanine screen,Phenylalanine screen
Red blood cell microcytes absent,Red blood cell microcytes absent
Antineutrophil cytoplasmic antibody positive,Antineutrophil cytoplasmic antibody positive
Antineutrophil cytoplasmic antibody negative,Antineutrophil cytoplasmic antibody negative
Antineutrophil cytoplasmic antibody increased,Antineutrophil cytoplasmic antibody increased
Antineutrophil cytoplasmic antibody decreased,Antineutrophil cytoplasmic antibody decreased
Antipsychotic drug level,Antipsychotic drug level
Antipsychotic drug level therapeutic,Antipsychotic drug level therapeutic
Antipsychotic drug level above therapeutic,Antipsychotic drug level above therapeutic
Antipsychotic drug level below therapeutic,Antipsychotic drug level below therapeutic
Phenylalanine screen positive,Phenylalanine screen positive
Phenylalanine screen negative,Phenylalanine screen negative
Guthrie test,Guthrie test
Guthrie test positive,Guthrie test positive
Guthrie test negative,Guthrie test negative
Viral oesophagitis,Viral oesophagitis
Platelet factor 4,Platelet factor 4
Potassium chloride sensitivity test,Potassium chloride sensitivity test
Proerythroblast count,Proerythroblast count
Pulmonary arterial pressure,Pulmonary arterial pressure
Red blood cell morphology normal,Red blood cell morphology normal
Rheumatoid factor quantitative,Rheumatoid factor quantitative
Right ventricular systolic pressure,Right ventricular systolic pressure
Platelet factor 4 increased,Platelet factor 4 increased
Platelet factor 4 decreased,Platelet factor 4 decreased
Platelet morphology normal,Platelet morphology normal
Potassium chloride sensitivity test normal,Potassium chloride sensitivity test normal
Potassium chloride sensitivity test abnormal,Potassium chloride sensitivity test abnormal
Proerythroblast count normal,Proerythroblast count normal
Proerythroblast count abnormal,Proerythroblast count abnormal
Proerythroblast count increased,Proerythroblast count increased
Proerythroblast count decreased,Proerythroblast count decreased
Protein C increased,Protein C increased
Pulmonary arterial pressure decreased,Pulmonary arterial pressure decreased
Pulmonary arterial pressure normal,Pulmonary arterial pressure normal
Pulmonary arterial pressure abnormal,Pulmonary arterial pressure abnormal
Rheumatoid factor quantitative increased,Rheumatoid factor quantitative increased
Rheumatoid factor quantitative decreased,Rheumatoid factor quantitative decreased
Right ventricular systolic pressure increased,Right ventricular systolic pressure increased
Right ventricular systolic pressure decreased,Right ventricular systolic pressure decreased
Muscle relaxant drug level,Muscle relaxant drug level
Muscle relaxant drug level therapeutic,Muscle relaxant drug level therapeutic
Muscle relaxant drug level above therapeutic,Muscle relaxant drug level above therapeutic
Muscle relaxant drug level below therapeutic,Muscle relaxant drug level below therapeutic
Reverse tri-iodothyronine,Reverse tri-iodothyronine
Urine selenium,Urine selenium
Reverse tri-iodothyronine increased,Reverse tri-iodothyronine increased
Reverse tri-iodothyronine decreased,Reverse tri-iodothyronine decreased
Anti-thyroid antibody positive,Anti-thyroid antibody positive
Anti-thyroid antibody negative,Anti-thyroid antibody negative
Antidepressant drug level,Antidepressant drug level
Urine selenium normal,Urine selenium normal
Urine selenium abnormal,Urine selenium abnormal
Urine selenium increased,Urine selenium increased
Urine selenium decreased,Urine selenium decreased
Antibiotic level,Antibiotic level
Anticoagulation drug level,Anticoagulation drug level
Anticoagulation drug level therapeutic,Anticoagulation drug level therapeutic
Anticoagulation drug level above therapeutic,Anticoagulation drug level above therapeutic
Anticoagulation drug level below therapeutic,Anticoagulation drug level below therapeutic
Anti-thyroid antibody,Anti-thyroid antibody
Infusion,Infusion
Transdermal contraception,Transdermal contraception
Bruton's agammaglobulinaemia,Bruton's agammaglobulinaemia
Hydraemia,Hydraemia
Hypergastrinaemia,Hypergastrinaemia
Hyperinsulinaemia,Hyperinsulinaemia
Plasma cell leukaemia in remission,Plasma cell leukaemia in remission
Polycythaemia neonatorum,Polycythaemia neonatorum
Respiratory tract infection fungal,Respiratory tract infection fungal
Respiratory tract infection bacterial,Respiratory tract infection bacterial
Presbyoesophagus,Presbyoesophagus
Eosinophil cationic protein increased,Eosinophil cationic protein increased
Eosinophil cationic protein decreased,Eosinophil cationic protein decreased
Induration,Induration
Gastrointestinal erosion,Gastrointestinal erosion
Galactostasis,Galactostasis
Intravascular papillary endothelial hyperplasia,Intravascular papillary endothelial hyperplasia
Skin neoplasm bleeding,Skin neoplasm bleeding
Mesenteric haemorrhage,Mesenteric haemorrhage
Retention cyst,Retention cyst
Haematoma evacuation,Haematoma evacuation
Diabetic foot,Diabetic foot
Congenital nephrotic syndrome,Congenital nephrotic syndrome
Intervertebral discitis,Intervertebral discitis
Endocrine ophthalmopathy,Endocrine ophthalmopathy
Icterus index,Icterus index
Icterus index decreased,Icterus index decreased
Alpha 1 foetoprotein amniotic fluid decreased,Alpha 1 foetoprotein amniotic fluid decreased
Congenital hypogammaglobulinaemia,Congenital hypogammaglobulinaemia
Type I hyperlipidaemia,Type I hyperlipidaemia
Type III hyperlipidaemia,Type III hyperlipidaemia
Type IV hyperlipidaemia,Type IV hyperlipidaemia
Type V hyperlipidaemia,Type V hyperlipidaemia
Glyceric acid urine,Glyceric acid urine
Lymphocyte stimulation test,Lymphocyte stimulation test
Lymphocyte stimulation test negative,Lymphocyte stimulation test negative
Lymphocyte stimulation test positive,Lymphocyte stimulation test positive
Mauriac syndrome,Mauriac syndrome
Eyelid erosion,Eyelid erosion
Prophylaxis against solar radiation,Prophylaxis against solar radiation
Osmophobia,Osmophobia
Heteroplasia,Heteroplasia
Nasal neoplasm,Nasal neoplasm
Therapeutic product ineffective,Therapeutic product ineffective
Therapeutic product ineffective for unapproved indication,Therapeutic product ineffective for unapproved indication
Chondrosis,Chondrosis
Vaginoperineorrhaphy,Vaginoperineorrhaphy
Haemorrhagic ovarian cyst,Haemorrhagic ovarian cyst
Ileostomy closure,Ileostomy closure
Gastric banding,Gastric banding
Laryngomalacia,Laryngomalacia
Joint stabilisation,Joint stabilisation
Hepatic enzyme,Hepatic enzyme
Hepatic enzyme decreased,Hepatic enzyme decreased
Hepatic enzyme increased,Hepatic enzyme increased
5'nucleotidase decreased,5'nucleotidase decreased
Glutamate dehydrogenase decreased,Glutamate dehydrogenase decreased
White blood cell morphology normal,White blood cell morphology normal
Nitrite urine absent,Nitrite urine absent
Hot flush,Hot flush
Erdheim-Chester disease,Erdheim-Chester disease
Abdominal hernia repair,Abdominal hernia repair
Diabetic foot infection,Diabetic foot infection
Computerised tomogram coronary artery,Computerised tomogram coronary artery
Computerised tomogram coronary artery normal,Computerised tomogram coronary artery normal
Computerised tomogram coronary artery abnormal,Computerised tomogram coronary artery abnormal
Hollow visceral myopathy,Hollow visceral myopathy
Parasite stool test,Parasite stool test
Iliotibial band syndrome,Iliotibial band syndrome
Macular pseudohole,Macular pseudohole
Myxoedema coma,Myxoedema coma
Joint injury,Joint injury
Necrolytic migratory erythema,Necrolytic migratory erythema
Choroidal neovascularisation,Choroidal neovascularisation
Plasminogen,Plasminogen
Epiphyseal disorder,Epiphyseal disorder
Human herpes virus 6 serology positive,Human herpes virus 6 serology positive
Human herpes virus 6 serology negative,Human herpes virus 6 serology negative
Infectious crystalline keratopathy,Infectious crystalline keratopathy
Embolic cerebral infarction,Embolic cerebral infarction
Ischaemic cerebral infarction,Ischaemic cerebral infarction
Sinusitis bacterial,Sinusitis bacterial
Gastric adenoma,Gastric adenoma
Hyperphosphatasaemia,Hyperphosphatasaemia
CSF cell count decreased,CSF cell count decreased
Post lumbar puncture syndrome,Post lumbar puncture syndrome
Recall phenomenon,Recall phenomenon
Cardiovascular function test,Cardiovascular function test
Normetanephrine urine decreased,Normetanephrine urine decreased
Neurological symptom,Neurological symptom
Prostate cancer,Prostate cancer
Duodenogastric reflux,Duodenogastric reflux
Light chain analysis normal,Light chain analysis normal
Light chain analysis abnormal,Light chain analysis abnormal
Lacrimal mucocoele,Lacrimal mucocoele
Salivary gland mucocoele,Salivary gland mucocoele
Transplant failure,Transplant failure
Aortic rupture,Aortic rupture
Uraemic pruritus,Uraemic pruritus
Benign familial haematuria,Benign familial haematuria
Monoclonal gammopathy,Monoclonal gammopathy
Skin test negative,Skin test negative
Tinea infection,Tinea infection
Trigeminal nerve disorder,Trigeminal nerve disorder
General symptom,General symptom
Haemoglobinopathy,Haemoglobinopathy
Hereditary haemolytic anaemia,Hereditary haemolytic anaemia
Calcium ionised abnormal,Calcium ionised abnormal
Calcium ionised normal,Calcium ionised normal
Calcium ionised decreased,Calcium ionised decreased
Calcium ionised increased,Calcium ionised increased
Calcium ionised,Calcium ionised
Diffuse alveolar damage,Diffuse alveolar damage
Freezing phenomenon,Freezing phenomenon
Dilutional coagulopathy,Dilutional coagulopathy
Precursor B-lymphoblastic lymphoma recurrent,Precursor B-lymphoblastic lymphoma recurrent
Precursor B-lymphoblastic lymphoma refractory,Precursor B-lymphoblastic lymphoma refractory
Base excess positive,Base excess positive
Cystostomy closure,Cystostomy closure
Base excess negative,Base excess negative
Volume blood,Volume blood
Foetal malformation,Foetal malformation
Abdominal abscess,Abdominal abscess
Abdominal hernia gangrenous,Abdominal hernia gangrenous
Abdominal hernia obstructive,Abdominal hernia obstructive
Abdominal injury,Abdominal injury
Abdominal neoplasm,Abdominal neoplasm
Abdominal symptom,Abdominal symptom
Abnormal product of conception,Abnormal product of conception
Abortion induced complete,Abortion induced complete
Accessory nerve disorder,Accessory nerve disorder
Acute leukaemia in remission,Acute leukaemia in remission
Adenovirus infection,Adenovirus infection
Postoperative adhesion,Postoperative adhesion
Adverse event,Adverse event
Allergic oedema,Allergic oedema
Alloimmunisation,Alloimmunisation
Amniotic cavity disorder,Amniotic cavity disorder
Amniotic cavity infection,Amniotic cavity infection
Anaesthetic complication,Anaesthetic complication
Anaesthetic complication vascular,Anaesthetic complication vascular
Analgesic drug level above therapeutic,Analgesic drug level above therapeutic
Analgesic drug level decreased,Analgesic drug level decreased
Analgesic drug level increased,Analgesic drug level increased
Analgesic drug level therapeutic,Analgesic drug level therapeutic
Analgesic drug level below therapeutic,Analgesic drug level below therapeutic
Bacterial infection,Bacterial infection
Pneumonia bacterial,Pneumonia bacterial
Intraocular pressure test,Intraocular pressure test
Intraocular pressure test abnormal,Intraocular pressure test abnormal
Intraocular pressure test normal,Intraocular pressure test normal
Ventricular failure,Ventricular failure
Abdominal hernia,Abdominal hernia
Androgens abnormal,Androgens abnormal
Angiogram abnormal,Angiogram abnormal
Anomaly of middle ear congenital,Anomaly of middle ear congenital
Anorectal infection bacterial,Anorectal infection bacterial
Appendix disorder,Appendix disorder
Appetite disorder,Appetite disorder
Arterial disorder,Arterial disorder
Arterial haemorrhage,Arterial haemorrhage
Arterial stenosis,Arterial stenosis
Arthritis fungal,Arthritis fungal
Arthritis helminthic,Arthritis helminthic
Arthritis infective,Arthritis infective
Arthropod infestation,Arthropod infestation
Arthropod-borne disease,Arthropod-borne disease
Astrocytoma malignant,Astrocytoma malignant
Autoantibody test,Autoantibody test
Autoantibody positive,Autoantibody positive
Autoantibody negative,Autoantibody negative
Autosomal chromosome anomaly,Autosomal chromosome anomaly
Bacillus infection,Bacillus infection
Basophil count abnormal,Basophil count abnormal
Antibody test,Antibody test
Granular cell tumour,Granular cell tumour
Apical granuloma,Apical granuloma
Ultrasound thyroid abnormal,Ultrasound thyroid abnormal
Ultrasound thyroid normal,Ultrasound thyroid normal
Sputum normal,Sputum normal
Sputum test,Sputum test
Sputum abnormal,Sputum abnormal
Benign anorectal neoplasm,Benign anorectal neoplasm
Benign bone neoplasm,Benign bone neoplasm
Benign endocrine neoplasm,Benign endocrine neoplasm
Benign female reproductive tract neoplasm,Benign female reproductive tract neoplasm
Benign gastrointestinal neoplasm,Benign gastrointestinal neoplasm
Benign lymph node neoplasm,Benign lymph node neoplasm
Benign male reproductive tract neoplasm,Benign male reproductive tract neoplasm
Benign neoplasm,Benign neoplasm
Benign pancreatic neoplasm,Benign pancreatic neoplasm
Benign renal neoplasm,Benign renal neoplasm
Benign respiratory tract neoplasm,Benign respiratory tract neoplasm
Benign small intestinal neoplasm,Benign small intestinal neoplasm
Benign soft tissue neoplasm,Benign soft tissue neoplasm
Cardiac myxoma,Cardiac myxoma
Benign urinary tract neoplasm,Benign urinary tract neoplasm
Benign uterine neoplasm,Benign uterine neoplasm
Biliary tract disorder,Biliary tract disorder
Bilirubin excretion disorder,Bilirubin excretion disorder
Binocular eye movement disorder,Binocular eye movement disorder
Bladder disorder,Bladder disorder
Blood cannabinoids,Blood cannabinoids
Blood electrolytes,Blood electrolytes
Blood electrolytes abnormal,Blood electrolytes abnormal
Blood electrolytes normal,Blood electrolytes normal
Blood test abnormal,Blood test abnormal
Brachytherapy,Brachytherapy
Brain neoplasm,Brain neoplasm
Breast cancer male,Breast cancer male
Breast disorder,Breast disorder
Bursitis infective,Bursitis infective
Carbohydrate metabolism disorder,Carbohydrate metabolism disorder
Cardiac disorder,Cardiac disorder
Cardiac neoplasm malignant,Cardiac neoplasm malignant
Cardiac operation,Cardiac operation
Cardiac stress test,Cardiac stress test
Cardioactive drug level,Cardioactive drug level
Thymoma malignant,Thymoma malignant
Catecholamines urine increased,Catecholamines urine increased
Central nervous system enteroviral infection,Central nervous system enteroviral infection
Central nervous system infection,Central nervous system infection
Central nervous system viral infection,Central nervous system viral infection
Cerebellar haematoma,Cerebellar haematoma
Cestode infection,Cestode infection
Childhood psychosis,Childhood psychosis
Chlamydial infection,Chlamydial infection
Chronic leukaemia in remission,Chronic leukaemia in remission
Clostridial infection,Clostridial infection
Central nervous system abscess,Central nervous system abscess
Colon neoplasm,Colon neoplasm
Communication disorder,Communication disorder
Complement factor abnormal,Complement factor abnormal
Complement factor decreased,Complement factor decreased
Complement factor increased,Complement factor increased
Labour complication,Labour complication
Eye anterior chamber congenital anomaly,Eye anterior chamber congenital anomaly
Congenital aortic anomaly,Congenital aortic anomaly
Congenital bladder anomaly,Congenital bladder anomaly
Congenital cardiovascular anomaly,Congenital cardiovascular anomaly
Complement factor,Complement factor
Complement factor normal,Complement factor normal
Congenital corneal anomaly,Congenital corneal anomaly
Congenital coronary artery malformation,Congenital coronary artery malformation
Congenital diaphragmatic anomaly,Congenital diaphragmatic anomaly
Congenital fallopian tube anomaly,Congenital fallopian tube anomaly
Congenital gastric anomaly,Congenital gastric anomaly
Congenital hair disorder,Congenital hair disorder
Congenital hepatobiliary anomaly,Congenital hepatobiliary anomaly
Congenital intestinal malformation,Congenital intestinal malformation
Congenital knee deformity,Congenital knee deformity
Congenital oesophageal anomaly,Congenital oesophageal anomaly
Congenital oral malformation,Congenital oral malformation
Congenital ovarian anomaly,Congenital ovarian anomaly
Congenital pancreatic anomaly,Congenital pancreatic anomaly
Congenital pharyngeal anomaly,Congenital pharyngeal anomaly
Congenital pulmonary artery anomaly,Congenital pulmonary artery anomaly
Congenital pulmonary valve disorder,Congenital pulmonary valve disorder
Congenital spinal cord anomaly,Congenital spinal cord anomaly
Congenital tongue anomaly,Congenital tongue anomaly
Congenital ureteric anomaly,Congenital ureteric anomaly
Congenital uterine anomaly,Congenital uterine anomaly
Congenital great vessel anomaly,Congenital great vessel anomaly
Sputum decreased,Sputum decreased
Cardiac valve sclerosis,Cardiac valve sclerosis
Congenital vitreous anomaly,Congenital vitreous anomaly
Congenital white blood cell disorder,Congenital white blood cell disorder
Connective tissue disorder,Connective tissue disorder
Connective tissue neoplasm,Connective tissue neoplasm
Coombs test negative,Coombs test negative
Coombs test positive,Coombs test positive
Copper metabolism disorder,Copper metabolism disorder
Corynebacterium infection,Corynebacterium infection
Cranial nerve disorder,Cranial nerve disorder
Cranial nerve injury,Cranial nerve injury
Cranial nerve neoplasm benign,Cranial nerve neoplasm benign
Crush injury,Crush injury
CSF white blood cell count,CSF white blood cell count
CSF white blood cell count negative,CSF white blood cell count negative
CSF white blood cell count positive,CSF white blood cell count positive
Deficiency anaemia,Deficiency anaemia
Diabetic complication,Diabetic complication
Dialysis,Dialysis
Diaphragmatic disorder,Diaphragmatic disorder
Disaccharide metabolism disorder,Disaccharide metabolism disorder
Disturbance in social behaviour,Disturbance in social behaviour
DNA antibody negative,DNA antibody negative
DNA antibody positive,DNA antibody positive
Drug abuser,Drug abuser
Dust inhalation pneumopathy,Dust inhalation pneumopathy
Echo virus infection,Echo virus infection
Economic problem,Economic problem
Ectopic hormone secretion,Ectopic hormone secretion
Electrocardiogram change,Electrocardiogram change
Electrocardiogram ST-T change,Electrocardiogram ST-T change
Encephalitis protozoal,Encephalitis protozoal
Encephalitis rickettsial,Encephalitis rickettsial
Endocardial disease,Endocardial disease
Endocrine neoplasm,Endocrine neoplasm
Endocrine neoplasm malignant,Endocrine neoplasm malignant
Endocrine pancreatic disorder,Endocrine pancreatic disorder
Enterococcal infection,Enterococcal infection
Eosinophil count abnormal,Eosinophil count abnormal
Escherichia infection,Escherichia infection
Eye degenerative disorder,Eye degenerative disorder
Eye injury,Eye injury
Eye movement disorder,Eye movement disorder
Eyelid disorder,Eyelid disorder
DNA antibody,DNA antibody
Drug level above therapeutic,Drug level above therapeutic
Drug level below therapeutic,Drug level below therapeutic
Drug level therapeutic,Drug level therapeutic
Thyroglobulin,Thyroglobulin
Ocular toxicity,Ocular toxicity
Fungal peritonitis,Fungal peritonitis
Diabetic cystopathy,Diabetic cystopathy
Eyelid function disorder,Eyelid function disorder
Congenital eyelid malformation,Congenital eyelid malformation
Eyelid vascular disorder,Eyelid vascular disorder
Feeding disorder,Feeding disorder
Female genital tract fistula,Female genital tract fistula
Female genital tract tuberculosis,Female genital tract tuberculosis
Female reproductive neoplasm,Female reproductive neoplasm
Female reproductive tract carcinoma in situ,Female reproductive tract carcinoma in situ
Finger deformity,Finger deformity
Foetal disorder,Foetal disorder
Foetal heart rate disorder,Foetal heart rate disorder
Foot deformity,Foot deformity
Foot operation,Foot operation
Pelvic fracture,Pelvic fracture
Gallbladder anomaly congenital,Gallbladder anomaly congenital
Gastric mucosal lesion,Gastric mucosal lesion
Gastrin secretion disorder,Gastrin secretion disorder
Gastroenteritis bacterial,Gastroenteritis bacterial
Gastrointestinal carcinoma in situ,Gastrointestinal carcinoma in situ
Embolism,Embolism
"Follicle centre lymphoma, follicular grade I, II, III","Follicle centre lymphoma, follicular grade I, II, III"
Gastrointestinal injury,Gastrointestinal injury
Gastrointestinal motility disorder,Gastrointestinal motility disorder
Gastrointestinal neoplasm,Gastrointestinal neoplasm
Gastrointestinal protozoal infection,Gastrointestinal protozoal infection
Genital haemorrhage,Genital haemorrhage
Genital infection bacterial,Genital infection bacterial
Genital infection fungal,Genital infection fungal
Genitourinary tract gonococcal infection,Genitourinary tract gonococcal infection
Genitourinary tract infection,Genitourinary tract infection
Genitourinary tract neoplasm,Genitourinary tract neoplasm
Germ cell cancer,Germ cell cancer
Glossopharyngeal nerve disorder,Glossopharyngeal nerve disorder
Glucagon secretion disorder,Glucagon secretion disorder
Haematopoietic neoplasm,Haematopoietic neoplasm
Haematotoxicity,Haematotoxicity
Haemodynamic test,Haemodynamic test
Haemophilus infection,Haemophilus infection
Haemorrhage foetal,Haemorrhage foetal
Haemorrhagic fever,Haemorrhagic fever
Hamartoma,Hamartoma
Hand deformity,Hand deformity
Hantaviral infection,Hantaviral infection
Head deformity,Head deformity
Heart injury,Heart injury
Helminthic infection,Helminthic infection
Hepatobiliary neoplasm,Hepatobiliary neoplasm
Hereditary cerebral degeneration,Hereditary cerebral degeneration
Hereditary disorder,Hereditary disorder
Hernia gangrenous,Hernia gangrenous
Hernia obstructive,Hernia obstructive
Herpes zoster infection neurological,Herpes zoster infection neurological
Hip deformity,Hip deformity
Hormone level abnormal,Hormone level abnormal
Hyperinsulinism,Hyperinsulinism
Hypoglossal nerve disorder,Hypoglossal nerve disorder
Iatrogenic injury,Iatrogenic injury
Immunology test abnormal,Immunology test abnormal
Impulse-control disorder,Impulse-control disorder
Infarction,Infarction
Infestation,Infestation
Inflammation,Inflammation
Lens disorder,Lens disorder
Leukaemia in remission,Leukaemia in remission
